"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"zNlw7VrVqRW","PDli588YEU8","HD Yoko","RMA2020_401. COVID-19","","","11","6.0","1.0","","","","","","","","1","0.67","54","0","54"
"RSmXTchRJqY","WChug9abnor","CMA de Ndjole","RMA2017_249. Diarrhees sanglantes 2","1.0","","","","","2.0","1.0","","","2.0","1.0","","1.1","0","7","0","7"
"D0qDi21TvD6","WChug9abnor","CSI Doume","RMA2017_249. Diarrhees sanglantes 2","","","","","1.0","","","","","","3.0","","0.71","0.67","20","0","20"
"XPlWSsf0gSI","WChug9abnor","CSI Mangai","RMA2017_249. Diarrhees sanglantes 2","2.0","","1.0","","","3.0","","5.0","1.0","","2.0","1.0","1.95","2.02","10","0","10"
"N9jOjZrqhQv","WChug9abnor","CSI Mankim","RMA2017_249. Diarrhees sanglantes 2","","","","","","1.0","","","","","","","0","0","11","0","11"
"nzv0gQyvNrA","WChug9abnor","CSI Nditam","RMA2017_249. Diarrhees sanglantes 2","","","2.0","","","","","","","","","","0","0","22","0","22"
"zNlw7VrVqRW","WChug9abnor","HD Yoko","RMA2017_249. Diarrhees sanglantes 2","","","1.0","","","","","","","","","","0","0","11","0","11"
"wvzN1KcMmlY","fsuofwH2xwq","Centre de Sante Prive Protestant de Yoko","RMA2017_247. Fievre Typhode","","2.0","6.0","2.0","2.0","","","11","","","","","1.61","0","14","0","14"
"RSmXTchRJqY","fsuofwH2xwq","CMA de Ndjole","RMA2017_247. Fievre Typhode","4.0","","","7.0","7.0","1.0","","","","2.0","","","1.15","0.67","28","0","28"
"uw6cm086opa","fsuofwH2xwq","CMA Ngambe Tikar","RMA2017_247. Fievre Typhode","16","16","","","16","","5.0","","","","","","1.5","0","128","0","128"
"lhdY6WyuP7u","fsuofwH2xwq","CS Family Health Care Clinic","RMA2017_247. Fievre Typhode","12","","8.0","12","12","3.0","7.0","","","","","","1.63","2.36","60","0","60"
"nZc3rqI1Nji","fsuofwH2xwq","CS PRIVE LES PREMICES","RMA2017_247. Fievre Typhode","","","","","","","","1.0","","","","","0","0","11","0","11"
"sR6JNlTJ0to","fsuofwH2xwq","CSI Kong","RMA2017_247. Fievre Typhode","","","2.0","4.0","","","","","","","","","0.71","0.67","30","0","30"
"S3j43hvIIYT","fsuofwH2xwq","CSI Linte","RMA2017_247. Fievre Typhode","2.0","2.0","","","2.0","","","1.0","","","","","1.5","0","16","0","16"
"XPlWSsf0gSI","fsuofwH2xwq","CSI Mangai","RMA2017_247. Fievre Typhode","","1.0","2.0","","","","","","","","","","0.71","0.67","15","0","15"
"N9jOjZrqhQv","fsuofwH2xwq","CSI Mankim","RMA2017_247. Fievre Typhode","","","","","2.0","2.0","","","1.0","","","","1.15","0","18","0","18"
