"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"wvzN1KcMmlY","hFnN33b2Wyf","Centre de Sante Prive Protestant de Yoko","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","","1.0","4.0","1.0","1.0","","","3.0","","3.0","3.0","4.0","1.15","1.35","12","0","12"
"RSmXTchRJqY","hFnN33b2Wyf","CMA de Ndjole","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","4.0","4.0","10","1.0","1.0","3.0","3.0","2.0","5.0","3.0","1.0","2.0","2.71","4.72","0","7","7"
"uw6cm086opa","hFnN33b2Wyf","CMA Ngambe Tikar","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","13","13","","","19","","17","","","","","","1.17","1.35","120","0","120"
"lhdY6WyuP7u","hFnN33b2Wyf","CS Family Health Care Clinic","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","6.0","","4.0","6.0","3.0","5.0","5.0","8.0","","","","","1.69","2.02","25","0","25"
"nZc3rqI1Nji","hFnN33b2Wyf","CS PRIVE LES PREMICES","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","","","","","","","","2.0","","","","","0","0","22","0","22"
"shfmo34VyRC","hFnN33b2Wyf","CSI DE MINFOUMBE","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","","","","3.0","2.0","","4.0","2.0","1.0","","","1.0","1.57","1.35","12","0","12"
"D0qDi21TvD6","hFnN33b2Wyf","CSI Doume","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","7.0","2.0","2.0","1.0","1.0","5.0","3.0","","4.0","5.0","4.0","11","2.34","2.36","4","8","12"
"sR6JNlTJ0to","hFnN33b2Wyf","CSI Kong","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","1.0","3.0","1.0","2.0","","2.0","2.0","","","","2.0","2.0","1.76","0","8","0","8"
"S3j43hvIIYT","hFnN33b2Wyf","CSI Linte","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","","2.0","","2.0","2.0","4.0","4.0","2.0","","","","","1.29","0","12","0","12"
"XPlWSsf0gSI","hFnN33b2Wyf","CSI Mangai","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","5.0","3.0","1.0","2.0","4.0","1.0","4.0","5.0","","2.0","3.0","","1.34","1.35","6","0","6"
"N9jOjZrqhQv","hFnN33b2Wyf","CSI Mankim","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","1.0","1.0","","","3.0","5.0","2.0","2.0","3.0","2.0","2.0","2.0","2.33","4.05","4","3","7"
"nzv0gQyvNrA","hFnN33b2Wyf","CSI Nditam","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","2.0","4.0","1.0","5.0","3.0","4.0","5.0","","2.0","4.0","5.0","3.0","1.79","2.02","4","0","4"
"zNlw7VrVqRW","hFnN33b2Wyf","HD Yoko","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","18","11","9.0","11","10","8.0","13","11","11","","","","2.32","4.72","33","8","41"
"OziphTTnhOB","hFnN33b2Wyf","Infirmerie de la prison - Yoko","RMA2017_21. Nombre total daccouchements effectues dans la formation sanitaire au cours du mois","","","","","2.0","","","","","","","","0","0","22","0","22"
"N9jOjZrqhQv","A20RaatWSod","CSI Mankim","Ptme_23.FEC testees negatives en CPN et testees VIH + en salle daccouchement","","2.0","","","","","","","","","","","0","0","22","0","22"
"N9jOjZrqhQv","e1MmQMS01OM","CSI Mankim","Ptme_24.FEC testees VIH+ en salle d'accouchement initiees  la TAR","","2.0","","","","","","","","","","","0","0","22","0","22"
"RSmXTchRJqY","SsR8yxlHJTg","CMA de Ndjole","Ptme_25.Femmes VIH+ ayant accouche dans la FOSA","","","","","","","","1.0","1.0","","","","0","0","10","0","10"
"uw6cm086opa","SsR8yxlHJTg","CMA Ngambe Tikar","Ptme_25.Femmes VIH+ ayant accouche dans la FOSA","","","","","","","","2.0","","","","2.0","0","0","20","0","20"
"nZc3rqI1Nji","SsR8yxlHJTg","CS PRIVE LES PREMICES","Ptme_25.Femmes VIH+ ayant accouche dans la FOSA","","","","","","","","1.0","","","","","0","0","11","0","11"
"D0qDi21TvD6","SsR8yxlHJTg","CSI Doume","Ptme_25.Femmes VIH+ ayant accouche dans la FOSA","","","1.0","","","","","","","","","","0","0","11","0","11"
"zNlw7VrVqRW","SsR8yxlHJTg","HD Yoko","Ptme_25.Femmes VIH+ ayant accouche dans la FOSA","","","","","","1.0","","","","","","","0","0","11","0","11"
"uw6cm086opa","YDRal6qwUuc","CMA Ngambe Tikar","RMA2017_25. Nombre  de cesariennes realisees","","","","","3.0","","","","","","","","0","0","33","0","33"
"D0qDi21TvD6","YDRal6qwUuc","CSI Doume","RMA2017_25. Nombre  de cesariennes realisees","","","","","","","","","1.0","","","","0","0","11","0","11"
"zNlw7VrVqRW","YDRal6qwUuc","HD Yoko","RMA2017_25. Nombre  de cesariennes realisees","1.0","","2.0","2.0","","1.0","","","","","","","0.87","0.67","12","0","12"
"wvzN1KcMmlY","h0kjn5fXX63","Centre de Sante Prive Protestant de Yoko","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","5.0","","5.0","5.0","","","","","","","","0","0","45","0","45"
"uw6cm086opa","h0kjn5fXX63","CMA Ngambe Tikar","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","","","","1.0","","","","","","","","0","0","11","0","11"
"D0qDi21TvD6","h0kjn5fXX63","CSI Doume","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","4.0","","","","","","","","","","","","0","0","44","0","44"
"sR6JNlTJ0to","h0kjn5fXX63","CSI Kong","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","","","","","","","","3.0","","","","0","0","33","0","33"
"S3j43hvIIYT","h0kjn5fXX63","CSI Linte","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","1.0","","","1.0","","","1.0","","","","","0","0","9","0","9"
"XPlWSsf0gSI","h0kjn5fXX63","CSI Mangai","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","","","","","","","2.0","","","","","0","0","22","0","22"
"N9jOjZrqhQv","h0kjn5fXX63","CSI Mankim","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","1.0","1.0","","","","1.0","","","","","","","0","0","9","0","9"
"nzv0gQyvNrA","h0kjn5fXX63","CSI Nditam","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","","","","","","1.0","","","","","","0","0","11","0","11"
"zNlw7VrVqRW","h0kjn5fXX63","HD Yoko","RMA2017_27. Nombre de cas de complications davortements enregistres dans la formation sanitaire au cours du mois","","","","","","","","3.0","3.0","","","","0","0","30","0","30"
"XPlWSsf0gSI","jj6uK32WUTD","CSI Mangai","RMA2017_28. Nombre de deces maternels enregistres dans la formation sanitaire au cours du mois","1.0","","","","","","","","","","","","0","0","11","0","11"
