"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"wvzN1KcMmlY","Q1FI2UQ456X","Centre de Sante Prive Protestant de Yoko","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","","61","42","61","61","","","42","47","53","53","30","1.87","1.94","159","0","159"
"RSmXTchRJqY","Q1FI2UQ456X","CMA de Ndjole","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","38","42","55","36","40","30","42","43","26","33","21","25","2.01","2.21","0","21","21"
"uw6cm086opa","Q1FI2UQ456X","CMA Ngambe Tikar","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","104","104","","","104","","","","","","","","0","0","936","0","936"
"lhdY6WyuP7u","Q1FI2UQ456X","CS Family Health Care Clinic","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","128","","135","128","128","60","70","100","","","","","1.52","6.55","640","118","758"
"nZc3rqI1Nji","Q1FI2UQ456X","CS PRIVE LES PREMICES","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","","","","","","","","21","","","","","0","0","231","0","231"
"shfmo34VyRC","Q1FI2UQ456X","CSI DE MINFOUMBE","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","10","","","12","7.0","","70","30","46","41","34","26","1.95","1.69","90","0","90"
"D0qDi21TvD6","Q1FI2UQ456X","CSI Doume","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","112","100","135","140","150","109","148","","50","80","77","70","1.65","1.28","109","0","109"
"sR6JNlTJ0to","Q1FI2UQ456X","CSI Kong","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","34","47","","","27","","15","","10","9.0","15","15","1.91","3.92","60","29","89"
"S3j43hvIIYT","Q1FI2UQ456X","CSI Linte","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","59","39","","74","39","62","62","","","","","","1.3","1.93","363","0","363"
"N9jOjZrqhQv","Q1FI2UQ456X","CSI Mankim","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","62","62","","58","42","53","53","53","20","47","55","55","2.62","4.45","53","34","87"
"zNlw7VrVqRW","Q1FI2UQ456X","HD Yoko","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","150","85","78","72","77","89","88","148","","","","","1.62","4.76","346","135","481"
"OziphTTnhOB","Q1FI2UQ456X","Infirmerie de la prison - Yoko","RMA2017_267. Nombre total de consultations au cours du mois (sans femmes enceintes)","","","","96","76","","80","","99","99","","99","1.46","9.67","585","40","625"
"wvzN1KcMmlY","kvxA6vQPPyO","Centre de Sante Prive Protestant de Yoko","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","","26","19","26","26","","","14","15","16","14","3.0","1.93","2.92","48","0","48"
"RSmXTchRJqY","kvxA6vQPPyO","CMA de Ndjole","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","8.0","13","27","13","13","12","14","13","7.0","12","9.0","11","2.85","9.78","0","10","10"
"uw6cm086opa","kvxA6vQPPyO","CMA Ngambe Tikar","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","56","56","","","56","","","","","","","","0","0","504","0","504"
"lhdY6WyuP7u","kvxA6vQPPyO","CS Family Health Care Clinic","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","73","","67","73","73","71","43","56","","","","","1.92","9.44","355","44","399"
"nZc3rqI1Nji","kvxA6vQPPyO","CS PRIVE LES PREMICES","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","","","","","","","","5.0","","","","","0","0","55","0","55"
"shfmo34VyRC","kvxA6vQPPyO","CSI DE MINFOUMBE","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","2.0","","","3.0","","","5.0","3.0","3.0","5.0","2.0","1.0","1.41","1.35","12","0","12"
"D0qDi21TvD6","kvxA6vQPPyO","CSI Doume","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","21","21","16","24","30","25","21","","15","15","23","24","1.86","2.02","21","0","21"
"sR6JNlTJ0to","kvxA6vQPPyO","CSI Kong","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","4.0","13","","","11","","6.0","","3.0","2.0","6.0","6.0","1.74","1.89","24","0","24"
"S3j43hvIIYT","kvxA6vQPPyO","CSI Linte","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","24","8.0","","19","8.0","14","14","","","","","","1.52","1.23","84","0","84"
"XPlWSsf0gSI","kvxA6vQPPyO","CSI Mangai","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","5.0","6.0","8.0","8.0","5.0","2.0","4.0","6.0","4.0","5.0","","3.0","1.65","2.02","5","0","5"
"N9jOjZrqhQv","kvxA6vQPPyO","CSI Mankim","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","4.0","4.0","","7.0","4.0","5.0","6.0","6.0","5.0","5.0","5.0","5.0","2.02","1.35","5","2","7"
"zNlw7VrVqRW","kvxA6vQPPyO","HD Yoko","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","38","28","36","41","25","37","39","40","","","","","1.8","4.22","150","12","162"
"OziphTTnhOB","kvxA6vQPPyO","Infirmerie de la prison - Yoko","RMA2017_269. Nombre total de personnes hospitalisees au cours du mois (sans FE)","","","","48","44","","30","","37","37","","40","1.49","1.83","231","0","231"
"wvzN1KcMmlY","EREjS9pGS83","Centre de Sante Prive Protestant de Yoko","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","","2.0","","","","","","","","","","0","0","22","0","22"
"RSmXTchRJqY","EREjS9pGS83","CMA de Ndjole","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","3.0","1.0","3.0","3.0","3.0","","1.0","5.0","2.0","1.0","1.0","2.02","1.69","5","3","8"
"lhdY6WyuP7u","EREjS9pGS83","CS Family Health Care Clinic","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","","","","","5.0","5.0","","","","","","0","0","50","0","50"
"D0qDi21TvD6","EREjS9pGS83","CSI Doume","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","","","","","","","","","","","3.0","0","0","33","0","33"
"S3j43hvIIYT","EREjS9pGS83","CSI Linte","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","4.0","","2.0","","6.0","6.0","","","","","","1.31","2.02","40","0","40"
"nzv0gQyvNrA","EREjS9pGS83","CSI Nditam","RMA2017_40. Nombre de declarations de naissance transmises au Centre dEtat civil au cours du mois","","","","","","","7.0","7.0","","2.0","2.0","","0.87","0.67","36","0","36"
"wvzN1KcMmlY","Y3mz2DZQUFx","Centre de Sante Prive Protestant de Yoko","RMA2020_Cons_1. Paludisme","","61","31","61","61","","","9.0","15","22","25","22","1.28","2.43","75","0","75"
"uw6cm086opa","Y3mz2DZQUFx","CMA Ngambe Tikar","RMA2020_Cons_1. Paludisme","60","60","","","60","","","","","","","","0","0","540","0","540"
"lhdY6WyuP7u","Y3mz2DZQUFx","CS Family Health Care Clinic","RMA2020_Cons_1. Paludisme","76","","64","76","76","60","35","51","","","","","1.78","1.63","320","0","320"
"nZc3rqI1Nji","Y3mz2DZQUFx","CS PRIVE LES PREMICES","RMA2020_Cons_1. Paludisme","","","","","","","","10","","","","","0","0","110","0","110"
"shfmo34VyRC","Y3mz2DZQUFx","CSI DE MINFOUMBE","RMA2020_Cons_1. Paludisme","5.0","","","6.0","","","17","5.0","8.0","19","19","12","1.23","1.21","40","0","40"
"D0qDi21TvD6","Y3mz2DZQUFx","CSI Doume","RMA2020_Cons_1. Paludisme","20","32","27","","37","29","55","","10","15","26","10","2.12","2.26","53","32","85"
"sR6JNlTJ0to","Y3mz2DZQUFx","CSI Kong","RMA2020_Cons_1. Paludisme","","7.0","","","","","","","3.0","3.0","","","1.15","0","27","0","27"
"S3j43hvIIYT","Y3mz2DZQUFx","CSI Linte","RMA2020_Cons_1. Paludisme","29","","","","","24","74","","","","","","1.15","6.07","261","48","309"
"N9jOjZrqhQv","Y3mz2DZQUFx","CSI Mankim","RMA2020_Cons_1. Paludisme","8.0","8.0","","20","20","20","21","22","10","15","12","12","1.33","0.94","15","0","15"
"zNlw7VrVqRW","Y3mz2DZQUFx","HD Yoko","RMA2020_Cons_1. Paludisme","45","26","31","45","","37","41","47","","","","","1.62","2.53","205","0","205"
"OziphTTnhOB","Y3mz2DZQUFx","Infirmerie de la prison - Yoko","RMA2020_Cons_1. Paludisme","","","","90","96","","63","","92","92","","94","2.01","9.78","552","30","582"
"RSmXTchRJqY","tGXOuASptkw","CMA de Ndjole","RMA2020_Cons_3. Affections aigues des voies respiratoires superieures","","","","","","1.0","1.0","","","1.0","2.0","","1.5","0","8","0","8"
"uw6cm086opa","tGXOuASptkw","CMA Ngambe Tikar","RMA2020_Cons_3. Affections aigues des voies respiratoires superieures","9.0","9.0","","","9.0","","","","","","","","0","0","81","0","81"
"shfmo34VyRC","tGXOuASptkw","CSI DE MINFOUMBE","RMA2020_Cons_3. Affections aigues des voies respiratoires superieures","","","","","","","1.0","","","","","","0","0","11","0","11"
