"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"wvzN1KcMmlY","ny8OXERgWlk","Centre de Sante Prive Protestant de Yoko","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","","1.0","4.0","1.0","1.0","","","","1.0","","","","1.79","0","7","0","7"
"RSmXTchRJqY","ny8OXERgWlk","CMA de Ndjole","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","1.0","2.0","7.0","1.0","1.0","3.0","2.0","2.0","4.0","2.0","1.0","2.0","2.71","3.37","0","5","5"
"uw6cm086opa","ny8OXERgWlk","CMA Ngambe Tikar","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","12","13","","","19","","","","","","","","1.14","4.05","117","7","124"
"nZc3rqI1Nji","ny8OXERgWlk","CS PRIVE LES PREMICES","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","","","","","","","","1.0","","","","","0","0","11","0","11"
"shfmo34VyRC","ny8OXERgWlk","CSI DE MINFOUMBE","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","","","","3.0","1.0","","4.0","2.0","","","","1.0","1.38","1.35","14","0","14"
"D0qDi21TvD6","ny8OXERgWlk","CSI Doume","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","2.0","2.0","2.0","1.0","1.0","5.0","3.0","","4.0","5.0","4.0","11","2.59","5.4","3","8","11"
"sR6JNlTJ0to","ny8OXERgWlk","CSI Kong","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","","3.0","1.0","","","2.0","2.0","","","","2.0","2.0","1.58","0","12","0","12"
"S3j43hvIIYT","ny8OXERgWlk","CSI Linte","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","1.0","2.0","","2.0","2.0","8.0","8.0","2.0","","","","","1.45","0","10","0","10"
"XPlWSsf0gSI","ny8OXERgWlk","CSI Mangai","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","5.0","3.0","1.0","2.0","4.0","1.0","4.0","5.0","","2.0","3.0","","1.34","1.35","6","0","6"
"N9jOjZrqhQv","ny8OXERgWlk","CSI Mankim","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","1.0","1.0","","","3.0","5.0","2.0","2.0","","2.0","2.0","2.0","2.31","0","6","3","9"
"zNlw7VrVqRW","ny8OXERgWlk","HD Yoko","RMA2017_34. Nombre de femmes ayant accouche et ayant passe au moins 48 h dans la formation sanitaire au cours mois","18","11","9.0","11","76","8.0","13","11","11","","","","2.64","21.92","33","65","98"
"wvzN1KcMmlY","t38TGp6iEkQ","Centre de Sante Prive Protestant de Yoko","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","","1.0","4.0","1.0","1.0","","","","","3.0","3.0","","1.38","1.35","12","0","12"
"RSmXTchRJqY","t38TGp6iEkQ","CMA de Ndjole","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","5.0","4.0","10","1.0","1.0","3.0","3.0","2.0","5.0","3.0","1.0","2.0","2.63","3.15","0","7","7"
"uw6cm086opa","t38TGp6iEkQ","CMA Ngambe Tikar","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","11","12","","","19","","","","","","","","1.15","4.72","108","8","116"
"lhdY6WyuP7u","t38TGp6iEkQ","CS Family Health Care Clinic","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","","","","","","5.0","5.0","8.0","","","","","1.15","0","45","0","45"
"shfmo34VyRC","t38TGp6iEkQ","CSI DE MINFOUMBE","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","3.0","","","3.0","10","","25","3.0","","","7.0","1.0","2.11","7.42","15","21","36"
"D0qDi21TvD6","t38TGp6iEkQ","CSI Doume","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","12","14","7.0","5.0","8.0","8.0","5.0","","5.0","6.0","11","13","1.61","1.35","8","0","8"
"sR6JNlTJ0to","t38TGp6iEkQ","CSI Kong","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","","3.0","1.0","2.0","","2.0","2.0","","","","2.0","2.0","1.73","0","10","0","10"
"S3j43hvIIYT","t38TGp6iEkQ","CSI Linte","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","1.0","","","2.0","","8.0","8.0","2.0","","","","","1.09","4.05","14","13","27"
"XPlWSsf0gSI","t38TGp6iEkQ","CSI Mangai","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","5.0","3.0","1.0","2.0","4.0","1.0","4.0","5.0","","2.0","3.0","","1.34","1.35","6","0","6"
"N9jOjZrqhQv","t38TGp6iEkQ","CSI Mankim","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","2.0","2.0","","","3.0","5.0","3.0","3.0","3.0","2.0","2.0","2.0","2.42","3.37","5","3","8"
"yV5XcYr80br","t38TGp6iEkQ","CSI Mbeng-Mbeng","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","","","","","","","1.0","","","","","","0","0","11","0","11"
"nzv0gQyvNrA","t38TGp6iEkQ","CSI Nditam","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","2.0","4.0","1.0","5.0","3.0","6.0","5.0","","2.0","4.0","5.0","","1.65","2.02","8","0","8"
"zNlw7VrVqRW","t38TGp6iEkQ","HD Yoko","RMA2017_37. Nombre de femmes ayant recu la  vitamine A en post partum au cours du mois","18","11","9.0","11","10","8.0","13","11","11","","","","2.32","4.72","33","8","41"
"wvzN1KcMmlY","EHK1a1rwof4","Centre de Sante Prive Protestant de Yoko","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","","4.0","","","","","","","3.0","3.0","","1.15","0","27","0","27"
"RSmXTchRJqY","EHK1a1rwof4","CMA de Ndjole","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","4.0","10","","","3.0","3.0","1.0","5.0","3.0","1.0","2.0","2.35","4.72","9","7","16"
"uw6cm086opa","EHK1a1rwof4","CMA Ngambe Tikar","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","12","13","","","19","","","","","","","","1.14","4.05","117","7","124"
"lhdY6WyuP7u","EHK1a1rwof4","CS Family Health Care Clinic","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","","","","","","","8.0","","","","","0","0","88","0","88"
"nZc3rqI1Nji","EHK1a1rwof4","CS PRIVE LES PREMICES","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","","","","","","","1.0","","","","","0","0","11","0","11"
"shfmo34VyRC","EHK1a1rwof4","CSI DE MINFOUMBE","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","3.0","","","3.0","2.0","","25","3.0","","","","","1.79","0","21","0","21"
"D0qDi21TvD6","EHK1a1rwof4","CSI Doume","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","12","12","2.0","5.0","8.0","8.0","10","","5.0","6.0","11","13","1.79","1.35","8","0","8"
"sR6JNlTJ0to","EHK1a1rwof4","CSI Kong","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","3.0","","1.0","","","2.0","","","","2.0","2.0","1.41","0","14","0","14"
"S3j43hvIIYT","EHK1a1rwof4","CSI Linte","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","1.0","2.0","","","2.0","8.0","8.0","2.0","","","","","1.28","8.09","12","13","25"
"XPlWSsf0gSI","EHK1a1rwof4","CSI Mangai","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","1.0","3.0","1.0","2.0","4.0","1.0","4.0","5.0","","2.0","3.0","","1.68","1.12","5","0","5"
"N9jOjZrqhQv","EHK1a1rwof4","CSI Mankim","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","2.0","2.0","","","3.0","5.0","3.0","3.0","3.0","2.0","2.0","2.0","2.42","3.37","5","3","8"
"yV5XcYr80br","EHK1a1rwof4","CSI Mbeng-Mbeng","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","","","","","","","1.0","","","","","","0","0","11","0","11"
"nzv0gQyvNrA","EHK1a1rwof4","CSI Nditam","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","2.0","1.0","","","3.0","6.0","","2.0","","","","","1.66","2.7","14","0","14"
"zNlw7VrVqRW","EHK1a1rwof4","HD Yoko","RMA2020_040. Nombre de femmes ayant reçu du Fer/Acide Folique en post partum","18","11","9.0","11","10","8.0","","11","11","","","","2.29","9.44","44","5","49"
