"Orgunit ID","Data ID","Orgunit name","Data","Jan 21","Fév 21","Mar 21","Avr 21","Mai 21","Jun 21","Jul 21","Aou 21","Sep 21","Oct 21","Nov 21","Déc 21","Max Z score","Max modified Z score","Gap weight","Outlier weight","Total weight"
"wvzN1KcMmlY","Or0dTqyc6px","Centre de Sante Prive Protestant de Yoko","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","","1.0","4.0","1.0","1.0","","","","","3.0","3.0","","1.38","1.35","12","0","12"
"RSmXTchRJqY","Or0dTqyc6px","CMA de Ndjole","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","4.0","4.0","10","1.0","1.0","3.0","2.0","2.0","5.0","3.0","1.0","2.0","2.72","3.37","0","7","7"
"uw6cm086opa","Or0dTqyc6px","CMA Ngambe Tikar","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","13","13","","","19","","17","","","","","","1.17","1.35","120","0","120"
"lhdY6WyuP7u","Or0dTqyc6px","CS Family Health Care Clinic","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","6.0","","4.0","6.0","6.0","5.0","5.0","","","","","","1.63","2.02","33","0","33"
"nZc3rqI1Nji","Or0dTqyc6px","CS PRIVE LES PREMICES","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","","","","","","","","2.0","","","","","0","0","22","0","22"
"shfmo34VyRC","Or0dTqyc6px","CSI DE MINFOUMBE","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","","","","3.0","2.0","","3.0","2.0","1.0","","","1.0","1.12","0.67","12","0","12"
"D0qDi21TvD6","Or0dTqyc6px","CSI Doume","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","2.0","2.0","2.0","1.0","1.0","5.0","2.0","","4.0","5.0","4.0","11","2.59","6.07","2","8","10"
"sR6JNlTJ0to","Or0dTqyc6px","CSI Kong","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","1.0","3.0","1.0","2.0","","3.0","2.0","","","","2.0","2.0","1.32","1.35","8","0","8"
"S3j43hvIIYT","Or0dTqyc6px","CSI Linte","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","1.0","2.0","","","2.0","4.0","4.0","2.0","","","","","1.22","2.7","12","0","12"
"XPlWSsf0gSI","Or0dTqyc6px","CSI Mangai","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","5.0","3.0","1.0","2.0","4.0","1.0","4.0","5.0","","2.0","3.0","","1.34","1.35","6","0","6"
"N9jOjZrqhQv","Or0dTqyc6px","CSI Mankim","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","1.0","1.0","","","3.0","5.0","2.0","2.0","3.0","12","2.0","2.0","2.66","6.75","4","10","14"
"zNlw7VrVqRW","Or0dTqyc6px","HD Yoko","RMA2017_38. Nombre de Naissances vivantes enregistrees dans la formation sanitaire au cours du mois","19","11","9.0","10","8.0","10","13","11","11","","","","2.39","5.4","33","9","42"
